,WRR,WRR without stopwords,WRR with upper,ocr word len,ocr char len,char len div,real char len,real word len,word len div,Lev ratio,runtime,WER without stopwords,CER,WER
243,0.8,0.86,0.966,5604,30767,4198,34965,6130,526,0.858,183.25,45.728,21.237,35.824
244,0.943,0.851,0.95,5574,31823,2936,34759,6040,466,0.909,168.63,34.383,13.863,26.705
245,0.947,0.852,1,5891,33010,3695,36705,6531,640,0.906,177.27,31.151,14.661,24.728
246,0.808,0.915,0.668,5896,33248,3575,36823,6463,567,0.903,211.53,35.721,14.831,27.742
247,0.8,0.908,0.922,5682,32371,2302,34673,6033,351,0.93,146.17,28.286,10.533,21.416
248,0.789,0.834,0.909,5962,32898,3344,36242,6382,420,0.871,154.39,44.918,20.546,35.146
249,0.935,0.827,1,5662,32609,945,33554,5812,150,0.939,159.42,26.486,8.454,18.858
250,0.736,0.755,0.988,5954,34083,974,35057,6071,117,0.897,190.11,41.089,13.771,29.468
251,0.948,0.854,0.993,6106,34985,1366,36351,6332,226,0.941,174.57,24.741,8.516,17.546
252,0.786,0.765,0.994,6052,35084,1073,36157,6252,200,0.861,201.16,44.416,17.836,32.23
253,0.805,0.768,0.983,5707,31932,1638,33570,5978,271,0.909,176.88,31.768,12.873,23.888
254,0.791,0.846,0.975,5867,32735,2017,34752,6166,299,0.917,158.82,35.428,12.388,26.581
255,0.935,0.85,0.79,5835,32772,2097,34869,6201,366,0.932,166,25.59,10.181,19.529
256,0.801,0.86,0.661,5541,30852,3130,33982,5962,421,0.893,152.47,38.599,16.234,29.839
257,0.886,0.91,0.931,5317,29366,5639,35005,6194,877,0.858,198.91,42.846,21.926,34.404
