,Lev=1(CER),Lev=1(WER),Lev=2(CER),Lev=2(WER),Lev=3(CER),Lev=3(WER),SpellChecker(CER),SpellChecker(WER),SpellChecker+Lev=1(CER),SpellChecker+Lev=1(WER),SpellChecker+Lev=2(CER),SpellChecker+Lev=2(WER),SpellChecker+Lev=3(CER),SpellChecker+Lev=3(WER)
67,0.83,3.24,0.58,3.45,0.49,3.44,0.89,3.24,0.97,3.83,1.09,4.18,1.19,4.35
68,0.58,3.04,0.88,3.79,1.45,3.75,0.77,3.06,0.77,3.53,0.86,3.79,0.95,3.97
69,0.75,3.7,1.23,4.93,1.46,4.99,0.98,3.69,1.09,4.44,1.24,4.93,1.43,5.3
70,0.7,3.69,1.11,4.86,1,5.23,0.95,3.82,1,4.45,1.1,4.86,1.2,5.09
71,0.95,4.5,1.3,5.38,1.37,4.99,1.04,4.5,1.16,5.13,1.26,5.4,1.38,5.65
72,0.7,3.16,0.79,3.72,1.29,5.09,0.74,3.26,0.73,3.54,0.76,3.72,0.79,3.88
73,0.51,3.16,0.77,3.96,0.64,4.23,0.45,2.77,0.66,3.58,0.79,3.96,0.74,4.21
74,0.71,2.7,0.88,3.53,0.12,0.98,0.7,2.67,0.8,3.2,0.87,3.53,0.82,3.67
75,0.95,4.44,1.27,5.52,0.65,5.54,0.95,4.34,1.08,5.1,1.27,5.53,1.38,5.76
76,0.78,3.32,1.07,4.06,1.54,4.86,0.9,3.39,0.96,3.77,1.06,4.08,1.16,4.31
77,0.59,2.68,0.79,3.41,0.52,3.7,0.62,2.65,0.73,3.14,0.77,3.41,0.85,3.72
78,0.71,3.23,0.91,3.83,1.28,4.14,0.74,3.14,0.83,3.62,0.9,3.83,1.02,4.11
79,0.66,3.61,0.89,4.51,0.9,4.72,0.71,3.45,0.76,4.15,0.9,4.51,0.9,4.7
80,0.61,3,0.76,3.59,1.44,4.22,0.67,2.7,0.73,3.34,0.75,3.59,0.78,3.76
81,0.7,3.59,0.87,4.18,0.87,4.32,0.71,3.26,0.82,3.94,0.88,4.2,0.92,4.38
82,0.75,3.69,0.98,4.32,1.01,4.66,0.73,3.44,0.86,4.06,0.98,4.32,1.05,4.49
83,1.05,4.67,1.28,5.97,1.45,6.01,1.13,5.12,1.23,5.56,1.29,5.97,1.32,6.45
84,0.72,3.91,0.93,4.84,1.06,6.01,0.86,4.11,0.88,4.58,0.91,4.84,0.94,5.11
85,0.93,4.36,1.04,5.07,1.46,1.19,0.83,4,0.94,4.82,1.01,5.07,1.07,5.33
86,0.75,3.71,0.83,4.39,1,3.77,0.69,3.59,0.73,4.08,0.78,4.39,0.8,4.59
87,0.87,4.4,1.09,5.25,1.33,4.07,0.73,3.96,0.96,4.93,1.05,5.25,1.07,5.63
88,0.62,3.12,0.8,3.85,0.91,3.89,0.71,3.08,0.75,3.57,0.8,3.85,0.79,3.99
89,0.66,2.92,0.92,3.66,1.11,4.17,0.73,2.97,0.84,3.5,0.91,3.66,0.92,3.87
90,0.86,4.68,1.14,5.68,1.11,5.86,0.89,4.7,1.01,5.36,1.12,5.68,1.11,5.86
91,0.72,3.08,0.88,3.67,0.98,3.81,0.79,3.03,0.85,3.49,0.9,3.67,0.98,3.81
92,0.81,3.45,1.01,4.11,0.94,4.33,0.83,3.28,0.95,3.87,0.99,4.11,0.94,4.33
93,0.71,3.13,0.95,3.81,0.99,4.1,0.55,2.51,0.77,3.41,0.95,3.81,0.99,4.1
94,0.7,2.65,0.83,3.3,1.04,3.8,0.63,2.46,0.75,3.01,0.81,3.3,0.84,3.53
95,0.66,3.56,0.92,4.4,0.98,4.79,0.69,3.38,0.75,3.94,0.91,4.4,0.94,4.58
96,0.71,3.27,0.83,3.93,0.91,2.82,0.78,3.23,0.82,3.74,0.83,3.93,0.79,4.17
97,0.76,3.32,0.88,3.77,0.62,4.01,0.86,3.18,0.97,3.8,1.01,4.04,1.1,4.21
98,0.65,3.2,0.71,3.67,0.79,3.89,0.71,3.15,0.79,3.56,0.83,3.82,0.81,3.94
99,0.76,3.61,0.97,4.25,0.08,0.69,0.69,3.32,0.9,3.98,0.96,4.25,1.04,4.5
